"name","latitude","longitude","grantee","grantNumber","delegateNo","centerType","programType","programDelegateName","programMainPhoneNumber","programAddress","programCity","programState","programZipCode","phone","address","city","state","zip","id"
"Taylor Head Start/Pre K","35.1207369","-84.78446350000002","Family Resource Agency, Inc.
3680 Michigan Avenue Rd NE
Cleveland, TN 37323-5721
(423)303-3536
","04CH010316","000","Head Start","Head Start","Family Resource Agency, Inc.","","3680 Michigan Avenue Rd NE ","Cleveland","TN","37323-5721","(423) 478-8817","5265 Bates Pike SE","Cleveland","TN","37323-8030","82075"
"Carver","36.318038","-82.364396","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY
301 Louis St
Kingsport, TN 37660-5181
(423)230-3732
","04CH4688","000","Head Start","Head Start","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY","","301 Louis St ","Kingsport","TN","37660-5181","(423) 929-9883","500 Washington St","Johnson City","TN","37604-5514","39050"
"Grandview Head Start","36.260762","-82.56615599999998","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY
301 Louis St
Kingsport, TN 37660-5181
(423)230-3732
","04CH4688","000","Head Start","Head Start","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY","","301 Louis St ","Kingsport","TN","37660-5181","","2891 Highway 11 E","Telford","TN","37690-2431","46406"
"MENTOR","35.822553","-84.01136500000001","Douglas-Cherokee Economic Authority, Inc.
534 E 1st North St
Morristown, TN 37814-4716
(423)587-4501 - 129
","04CH9999","000","Head Start","Head Start","Douglas-Cherokee Economic Authority, Inc.","","534 E 1st North St ","Morristown","TN","37814-4716","(865) 981-6855","2424 Mentor School Rd","Louisville","TN","37777-4021","56939"
"Columbia Head Start","35.593461","-87.03593899999998","South Central Human Resource Agency
1437 Winchester Hwy
Fayetteville, TN 37334-2757
(931)433-7182 - 182
","04CH4650","000","Head Start","Head Start","South Central Human Resource Agency","","1437 Winchester Hwy ","Fayetteville","TN","37334-2757","(931) 381-8762","209 Wayne St","Columbia","TN","38401-4526","32658"
"College Hill","35.595866","-89.27280389999999","SOUTHWEST HUMAN RESOURCE AGENCY
1527 White Ave
Henderson, TN 38340-7625
(731)989-5111
","04CH4711","000","Head Start","Head Start","SOUTHWEST HUMAN RESOURCE AGENCY","","1527 White Ave ","Henderson","TN","38340-7625","(731) 772-5557","127 N Grand Ave
Ste 2","Brownsville","TN","38012-2487","43929"
"MCS - John Pittard","35.886384","-86.35545","MID-CUMBERLAND COMMUNITY ACTION
412 Vine Street
Murfreesboro, TN 37130-
(615)893-6614 - 1026
","04CH4771","000","Head Start","Head Start","MID-CUMBERLAND COMMUNITY ACTION","","412 Vine Street ","Murfreesboro","TN","37130","(615) 542-9565","745 Dejarnette Ln","Murfreesboro","TN","37130-9160","82131"
"Montgomery","35.6509493","-88.40042119999998","SOUTHWEST HUMAN RESOURCE AGENCY
1527 White Ave
Henderson, TN 38340-7625
(731)989-5111
","04CH4711","000","Head Start","Head Start","SOUTHWEST HUMAN RESOURCE AGENCY","","1527 White Ave ","Henderson","TN","38340-7625","(731) 968-4613","125 Montgomery Way
Ste 1","Lexington","TN","38351-2072","43938"
"Goodlett Elementary","35.06737800000001","-89.92236600000001","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 416-2510","3001 S Goodlett St","Memphis","TN","38118-2930","46470"
"Susan Gray Head Start","36.06804","-86.72270300000002","Metropolitan Action Commission
800 2nd Ave N
Nashville, TN 37201-1083
(615)862-8860 - 70146
","04CH010156","000","Head Start","Head Start","Metropolitan Action Commission","","800 2nd Ave N ","Nashville","TN","37201-1083","(615) 862-8888","445 Cotton Ln","Nashville","TN","37211-5203","56850"
"WCS - Gladeville","36.11117400536534","-86.41993001852416","MID-CUMBERLAND COMMUNITY ACTION
412 Vine Street
Murfreesboro, TN 37130-
(615)893-6614 - 1026
","04CH4771","000","Head Start","Head Start","MID-CUMBERLAND COMMUNITY ACTION","","412 Vine Street ","Murfreesboro","TN","37130","(615) 542-9556","8840 Stewarts Ferry Pike","Gladeville","TN","37071","48610"
"Shalom Zone Head Start","36.397014","-86.45881789999999","MID-CUMBERLAND COMMUNITY ACTION
412 Vine Street
Murfreesboro, TN 37130-
(615)893-6614 - 1026
","04CH4771","000","Head Start","Head Start","MID-CUMBERLAND COMMUNITY ACTION","","412 Vine Street ","Murfreesboro","TN","37130","(615) 451-9804","600 Small St","Gallatin","TN","37066-2254","48603"
"Pinecrest","36.294343","-81.996017","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY
301 Louis St
Kingsport, TN 37660-5181
(423)230-3732
","04CH4688","000","Head Start","Head Start","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY","","301 Louis St ","Kingsport","TN","37660-5181","(423) 929-1781","500 Angel Pl","Johnson City","TN","37601-6457","39069"
"Fairview Head Start Center","36.3794187","-84.4037801","Clinch-Powell Educational Cooperative
106 Ingle Dr
Tazewell, TN 37879-3640
(423)626-9270
","04CH010267","000","Head Start","Head Start","Clinch-Powell Educational Cooperative","","106 Ingle Dr ","Tazewell","TN","37879-3640","(423) 663-9301","8706 Baker Hwy","Huntsville","TN","37756-3036","80760"
"Meigs South","35.4257515","-84.87244290000001","Family Resource Agency, Inc.
3680 Michigan Avenue Rd NE
Cleveland, TN 37323-5721
(423)303-3536
","04CH010316","000","Head Start","Head Start","Family Resource Agency, Inc.","","3680 Michigan Avenue Rd NE ","Cleveland","TN","37323-5721","(423) 454-0148","9485 State Highway 58","Decatur","TN","37322-7300","82084"
"St. William Head Start","35.3449359","-89.89884689999997","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 922-0851","4932 Easley St","Millington","TN","38053-2010","46445"
"Dobbins","36.536425","-82.55289299999998","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY
301 Louis St
Kingsport, TN 37660-5181
(423)230-3732
","04CH4688","000","Head Start","Head Start","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY","","301 Louis St ","Kingsport","TN","37660-5181","(423) 246-6180","301 Louis St","Kingsport","TN","37660-5181","39056"
"Harmony","36.3920047","-82.57230820000001","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY
301 Louis St
Kingsport, TN 37660-5181
(423)230-3732
","04CH4688","000","Head Start","Head Start","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY","","301 Louis St ","Kingsport","TN","37660-5181","(423) 348-5113","1019 Painter Rd","Jonesborough","TN","37659-3319","39053"
"Alcy Elementary","35.0790843","-90.00436030000003","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 416-7800","1750 E Alcy Rd","Memphis","TN","38114-5809","58826"
"Egypt Elementary","35.2384963","-89.93007119999999","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 416-4150","4160 Karen Cv","Memphis","TN","38128-2210","58834"
"Jamestown Head Start","36.4148921","-84.9357149","Livingston Byrdstown Jamestown & Cookeville Dev Corp
1150 Chocolate Drive
Cookeville, TN 38501-2006
(931)528-3361
","04CH4696","000","Head Start","Head Start","Livingston Byrdstown Jamestown & Cookeville Dev Corp","","1150 Chocolate Drive ","Cookeville","TN","38501-2006","(931) 879-7973","629 N Main St","Jamestown","TN","38556-3739","41633"
"Petros Joyner Pre K","36.0484477","-84.44940259999998","COMMUNITY ACTION SERVICE OF MORGAN COUNTY HEAD START
105 Longview Dr
Wartburg, TN 37887-4205
(423)346-6633
","04CH4714","000","Head Start","Head Start","COMMUNITY ACTION SERVICE OF MORGAN COUNTY HEAD START","","105 Longview Dr ","Wartburg","TN","37887-4205","(423) 346-6633","125 Petros Joyner School Rd","Oliver Springs","TN","37840-3716","43733"
"MCS - Mercury Court","35.8378176","-86.38084730000003","MID-CUMBERLAND COMMUNITY ACTION
412 Vine Street
Murfreesboro, TN 37130-
(615)893-6614 - 1026
","04CH4771","000","Head Start","Head Start","MID-CUMBERLAND COMMUNITY ACTION","","412 Vine Street ","Murfreesboro","TN","37130","(615) 542-9565","602 S Hancock St","Murfreesboro","TN","37130-4327","48616"
"Chester County","35.46023562500286","-88.66913384285277","SOUTHWEST HUMAN RESOURCE AGENCY
1527 White Ave
Henderson, TN 38340-7625
(731)989-5111
","04CH4711","000","Head Start","Head Start","SOUTHWEST HUMAN RESOURCE AGENCY","","1527 White Ave ","Henderson","TN","38340-7625","(731) 989-5192","1495 White Ave","Henderson","TN","38340-7625","43945"
"Smith County Head Start","36.2522766","-85.95165400000002","Livingston Byrdstown Jamestown & Cookeville Dev Corp
1150 Chocolate Drive
Cookeville, TN 38501-2006
(931)528-3361
","04CH4696","000","Head Start","Head Start","Livingston Byrdstown Jamestown & Cookeville Dev Corp","","1150 Chocolate Drive ","Cookeville","TN","38501-2006","(615) 735-1868","201 Joy Alford Way","Carthage","TN","37030-3047","41627"
"East Ridge Elementray","34.996129","-85.24983499999996","Chattanooga YFD Head Start/EHS Program
2302 Ocoee St
Chattanooga, TN 37406-3564
(423)643-6537
","04CH010085","000","Head Start","Head Start","Chattanooga YFD Head Start/EHS Program","","2302 Ocoee St ","Chattanooga","TN","37406-3564","(423) 493-6209","1014 John Ross Rd","Chattanooga","TN","37412-1620","56817"
"Lincoln Homes","36.54069339999999","-87.35263199999997","Clarksville / Montgomery County CAA
150 Lafayette Rd
Clarksville, TN 37042-4205
(931)896-1806
","04CH010248","000","Head Start","Head Start","Clarksville / Montgomery County CAA","","150 Lafayette Rd ","Clarksville","TN","37042-4205","(931) 648-5796","20K Summer St","Clarksville","TN","37040-4926","80330"
"Fugate Hill","36.3992992","-83.01386400000001","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY
301 Louis St
Kingsport, TN 37660-5181
(423)230-3732
","04CH4688","000","Head Start","Head Start","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY","","301 Louis St ","Kingsport","TN","37660-5181","(423) 272-6325","901 Locust St","Rogersville","TN","37857-2409","39054"
"Boyds Creek","35.920672","-83.66777990000003","Douglas-Cherokee Economic Authority, Inc.
534 E 1st North St
Morristown, TN 37814-4716
(423)587-4501 - 129
","04CH9999","000","Head Start","Head Start","Douglas-Cherokee Economic Authority, Inc.","","534 E 1st North St ","Morristown","TN","37814-4716","(865) 908-0627","2536 Boyds Creek Hwy","Sevierville","TN","37876-0240","56965"
"MOUNTAIN VIEW","36.2219488","-83.30281739999998","Douglas-Cherokee Economic Authority, Inc.
534 E 1st North St
Morristown, TN 37814-4716
(423)587-4501 - 129
","04CH9999","000","Head Start","Head Start","Douglas-Cherokee Economic Authority, Inc.","","534 E 1st North St ","Morristown","TN","37814-4716","(423) 581-9710","324 W 13th North St","Morristown","TN","37814-6581","56952"
"HARRISBURG","35.8624255","-83.48334299999999","Douglas-Cherokee Economic Authority, Inc.
534 E 1st North St
Morristown, TN 37814-4716
(423)587-4501 - 129
","04CH9999","000","Head Start","Head Start","Douglas-Cherokee Economic Authority, Inc.","","534 E 1st North St ","Morristown","TN","37814-4716","(865) 429-5602","1814 Old Harrisburg Rd","Sevierville","TN","37876-2138","56941"
"Portland Head Start","36.5647798","-86.4822252","MID-CUMBERLAND COMMUNITY ACTION
412 Vine Street
Murfreesboro, TN 37130-
(615)893-6614 - 1026
","04CH4771","000","Head Start","Head Start","MID-CUMBERLAND COMMUNITY ACTION","","412 Vine Street ","Murfreesboro","TN","37130","(615) 542-9597","211 Fountain Head Rd
Clyde Riggs Elementary School","Portland","TN","37148-3619","48607"
"Southwest","35.141024","-89.4868985","Northwest Tennessee Head Start
938 C Walnut Avenue West
McKenzie, TN 38201-1970
(731)352-4743 - 6502
","04CH010416","000","Head Start","Head Start","Northwest Tennessee Head Start","","938 C Walnut Avenue West ","McKenzie","TN","38201-1970","(901) 465-8317","8095 Highwy 194","Macon","TN","38048","84617"
"Sharpe Elementary","35.0864986","-89.9483945","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 416-5020","3431 Sharpe Ave","Memphis","TN","38111-5017","46498"
"Double Tree Elementary","35.023563","-90.102666","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 922-8144","4560 Double Tree Rd","Memphis","TN","38109-4887","46457"
"Germanshire Elementary","35.0400997","-89.82427129999996","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 416-3733","3965 S Germantown Rd","Memphis","TN","38125-2015","46467"
"Fox Meadows Elementary","35.0678638","-89.88035560000003","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 416-2530","2960 Emerald St","Memphis","TN","38115-2305","46465"
"Tipton Co. Head Start","35.6744093","-89.58073339999999","Northwest Tennessee Head Start
938 C Walnut Avenue West
McKenzie, TN 38201-1970
(731)352-4743 - 6502
","04CH010416","000","Head Start","Head Start","Northwest Tennessee Head Start","","938 C Walnut Avenue West ","McKenzie","TN","38201-1970","(901) 476-7488","410 Alston Ave","Covington","TN","38019-2022","84596"
"LANIER","35.6224328","-84.09616729999999","Douglas-Cherokee Economic Authority, Inc.
534 E 1st North St
Morristown, TN 37814-4716
(423)587-4501 - 129
","04CH9999","000","Head Start","Head Start","Douglas-Cherokee Economic Authority, Inc.","","534 E 1st North St ","Morristown","TN","37814-4716","(865) 856-6060","6004 Lanier Rd","Maryville","TN","37801-1129","56937"
"Avondale","35.054512","-85.25839400000001","Chattanooga YFD Head Start/EHS Program
2302 Ocoee St
Chattanooga, TN 37406-3564
(423)643-6537
","04CH010085","000","Head Start","Head Start","Chattanooga YFD Head Start/EHS Program","","2302 Ocoee St ","Chattanooga","TN","37406-3564","(423) 643-6533","2302 Ocoee St","Chattanooga","TN","37406-3564","56815"
"Huntingdon Pre-K Head Start","36.008468","-88.43028900000002","Northwest Tennessee Head Start
938 C Walnut Avenue West
McKenzie, TN 38201-1970
(731)352-4743 - 6502
","04CH010416","000","Head Start","Head Start","Northwest Tennessee Head Start","","938 C Walnut Avenue West ","McKenzie","TN","38201-1970","(731) 986-7574","13310 Paris St","Huntingdon","TN","38344-2522","84601"
"Black Fox Head Start/ Pre K","35.12609","-84.92243100000002","Family Resource Agency, Inc.
3680 Michigan Avenue Rd NE
Cleveland, TN 37323-5721
(423)303-3536
","04CH010316","000","Head Start","Head Start","Family Resource Agency, Inc.","","3680 Michigan Avenue Rd NE ","Cleveland","TN","37323-5721","(423) 476-0535","3119 Varnell Rd SW","Cleveland","TN","37311-8348","82076"
"Reagan","35.5084024","-88.32431020000001","SOUTHWEST HUMAN RESOURCE AGENCY
1527 White Ave
Henderson, TN 38340-7625
(731)989-5111
","04CH4711","000","Head Start","Head Start","SOUTHWEST HUMAN RESOURCE AGENCY","","1527 White Ave ","Henderson","TN","38340-7625","(731) 549-9413","5820 Highway 100
P O Box 62","Reagan","TN","38368-3601","43939"
"Kingsbury Elementary","35.1694106","-89.92483140000002","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 416-6020","4055 Bayliss Ave","Memphis","TN","38108-3525","46482"
"Cedar Hill","34.988694","-85.29629790000001","Chattanooga YFD Head Start/EHS Program
2302 Ocoee St
Chattanooga, TN 37406-3564
(423)643-6537
","04CH010085","000","Head Start","Head Start","Chattanooga YFD Head Start/EHS Program","","2302 Ocoee St ","Chattanooga","TN","37406-3564","(423) 867-3236","4701 Divine Ave","Chattanooga","TN","37407-3226","56812"
"Oakshire Elementary","35.0050107","-90.00419139999997","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 416-3140","1765 E Holmes Rd","Memphis","TN","38116-9160","58848"
"Springdale Elementary","35.159548","-89.974965","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 416-4883","880 N Hollywood St","Memphis","TN","38108-3309","46475"
"Unicoi/Erwin","36.148895","-82.41281099999998","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY
301 Louis St
Kingsport, TN 37660-5181
(423)230-3732
","04CH4688","000","Head Start","Head Start","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY","","301 Louis St ","Kingsport","TN","37660-5181","(423) 743-0994","435 N Main Ave","Erwin","TN","37650","39066"
"Manor Lake Elementary","35.0150911","-90.0664123","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 416-8170","4900 Horn Lake Rd","Memphis","TN","38109-6600","86695"
"Vollentine Elementary","35.1645484","-90.0014259","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 416-4632","1682 Vollintine Ave","Memphis","TN","38107-3030","86091"
"Midtown Educational Center","35.8704685","-84.57671219999997","Mid-East Community Action Agency
315 E Race St
Kingston, TN 37763-2828
(865)376-2308 - 231
","04CH0450","000","Head Start","Head Start","Mid-East Community Action Agency","","315 E Race St ","Kingston","TN","37763-2828","(865) 882-1033","3092 Roane State Hwy","Harriman","TN","37748-7781","38395"
"Claxton West Head Start Center","35.970028","-83.97061500000001","KNOXVILLE KNOX COUNTY COMMUNITY ACTION COMMISSION
2400 Piedmont St
Knoxville, TN 37921-7048
(865)522-2193
","04CH4692","000","Head Start","Head Start","KNOXVILLE KNOX COUNTY COMMUNITY ACTION COMMISSION","","2400 Piedmont St ","Knoxville","TN","37921-7048","(865) 971-5845","2400 Piedmont St","Knoxville","TN","37921-7048","39034"
"NEWPORT","36.008114","-83.23831999999999","Douglas-Cherokee Economic Authority, Inc.
534 E 1st North St
Morristown, TN 37814-4716
(423)587-4501 - 129
","04CH9999","000","Head Start","Head Start","Douglas-Cherokee Economic Authority, Inc.","","534 E 1st North St ","Morristown","TN","37814-4716","(423) 623-1846","175 Highway 25 E","Newport","TN","37821-8169","56938"
"Southwind Elementary","35.025896","-89.79110500000002","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 756-2325","8155 Meadow Vale Dr","Memphis","TN","38125-3207","46476"
"WAVERLY HEAD START","36.0820104","-87.77723349999997","Highland Rim Economic Corporation
3215 Highway 149
Erin, TN 37061-5407
(931)289-4135
","04CH4663","000","Head Start","Head Start","Highland Rim Economic Corporation","","3215 Highway 149 ","Erin","TN","37061-5407","(931) 296-7401","612 E Main St","Waverly","TN","37185-1732","32859"
"Childcare Network 135","35.121713","-85.24154399999998","Chattanooga YFD Head Start/EHS Program
2302 Ocoee St
Chattanooga, TN 37406-3564
(423)643-6537
","04CH010085","000","Head Start","Head Start","Chattanooga YFD Head Start/EHS Program","","2302 Ocoee St ","Chattanooga","TN","37406-3564","(423) 877-4180","1818C Hamill Rd","Hixson","TN","37343-4907","56813"
"LON PRICE","36.2238811","-83.28768100000002","Douglas-Cherokee Economic Authority, Inc.
534 E 1st North St
Morristown, TN 37814-4716
(423)587-4501 - 129
","04CH9999","000","Head Start","Head Start","Douglas-Cherokee Economic Authority, Inc.","","534 E 1st North St ","Morristown","TN","37814-4716","(423) 585-0367","925 Panorama Dr","Morristown","TN","37814-4271","56946"
"UNDERWOOD","35.99728899999999","-83.63536490000001","Douglas-Cherokee Economic Authority, Inc.
534 E 1st North St
Morristown, TN 37814-4716
(423)587-4501 - 129
","04CH9999","000","Head Start","Head Start","Douglas-Cherokee Economic Authority, Inc.","","534 E 1st North St ","Morristown","TN","37814-4716","(865) 933-5656","4125 Douglas Dam Rd","Kodak","TN","37764-1217","56951"
"Kyles Ford Head Start Center","36.57","-83.05000000000001","Clinch-Powell Educational Cooperative
106 Ingle Dr
Tazewell, TN 37879-3640
(423)626-9270
","04CH010267","000","Head Start","Head Start","Clinch-Powell Educational Cooperative","","106 Ingle Dr ","Tazewell","TN","37879-3640","(423) 733-1500","RR 1","Kyles Ford","TN","37765-9801","80755"
"Florida Avenue","36.5900782","-82.16678409999997","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY
301 Louis St
Kingsport, TN 37660-5181
(423)230-3732
","04CH4688","000","Head Start","Head Start","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY","","301 Louis St ","Kingsport","TN","37660-5181","(423) 764-7366","703 Florida Ave","Bristol","TN","37620-4009","39045"
"MOUNT VERNON","35.4118382","-84.36312370000002","Douglas-Cherokee Economic Authority, Inc.
534 E 1st North St
Morristown, TN 37814-4716
(423)587-4501 - 129
","04CH9999","000","Head Start","Head Start","Douglas-Cherokee Economic Authority, Inc.","","534 E 1st North St ","Morristown","TN","37814-4716","(423) 442-2328","119 Reagan Valley Rd","Tellico Plains","TN","37385-5294","56957"
"Robbins Head Start Center","36.3517078","-84.58738410000001","Clinch-Powell Educational Cooperative
106 Ingle Dr
Tazewell, TN 37879-3640
(423)626-9270
","04CH010267","000","Head Start","Head Start","Clinch-Powell Educational Cooperative","","106 Ingle Dr ","Tazewell","TN","37879-3640","(423) 627-4647","359 School House Rd","Robbins","TN","37852-1852","80723"
"Clarkrange Head Start","36.2232837","-85.00667810000004","Livingston Byrdstown Jamestown & Cookeville Dev Corp
1150 Chocolate Drive
Cookeville, TN 38501-2006
(931)528-3361
","04CH4696","000","Head Start","Head Start","Livingston Byrdstown Jamestown & Cookeville Dev Corp","","1150 Chocolate Drive ","Cookeville","TN","38501-2006","(931) 863-3255","1399 Franklin Loop","Clarkrange","TN","38553-5178","41642"
"Academy of Early Learning","35.0613522","-85.2418161","Chattanooga YFD Head Start/EHS Program
2302 Ocoee St
Chattanooga, TN 37406-3564
(423)643-6537
","04CH010085","000","Head Start","Head Start","Chattanooga YFD Head Start/EHS Program","","2302 Ocoee St ","Chattanooga","TN","37406-3564","(423) 493-0771","1800 Greenwood Rd","Chattanooga","TN","37406-2655","56819"
"Bean Station","36.3119835","-83.31106190000003","Douglas-Cherokee Economic Authority, Inc.
534 E 1st North St
Morristown, TN 37814-4716
(423)587-4501 - 129
","04CH9999","000","Head Start","Head Start","Douglas-Cherokee Economic Authority, Inc.","","534 E 1st North St ","Morristown","TN","37814-4716","(865) 993-7734","450 Ella Cir","Bean Station","TN","37708-6656","56961"
"Humbolt Head Start","35.862765","-88.86087099999997","Northwest Tennessee Head Start
938 C Walnut Avenue West
McKenzie, TN 38201-1970
(731)352-4743 - 6502
","04CH010416","000","Head Start","Head Start","Northwest Tennessee Head Start","","938 C Walnut Avenue West ","McKenzie","TN","38201-1970","(731) 787-7574","152 Hwy 70 Humboldt-Gibson Rd","Humboldt","TN","38343","84589"
"Mountain City","36.472972","-81.807459","Johnson County Head Start
211 North Church Street
Mountain City, TN 37683-1325
(423)727-2640
","04CH4688","001","Head Start","Head Start","Johnson County Head Start","","211 North Church Street ","Mountain City","TN","37683-1325","(423) 727-2621","301 Donnelly St","Mountain City","TN","37683-1509","40764"
"Frederick Douglass Head Start","36.1764762","-86.7620604","Metropolitan Action Commission
800 2nd Ave N
Nashville, TN 37201-1083
(615)862-8860 - 70146
","04CH010156","000","Head Start","Head Start","Metropolitan Action Commission","","800 2nd Ave N ","Nashville","TN","37201-1083","(615) 862-8878","621 Howerton St","Nashville","TN","37206-0016","56852"
"NIOTA HEAD START","35.517936","-84.55431499999997","Family Resource Agency, Inc.
3680 Michigan Avenue Rd NE
Cleveland, TN 37323-5721
(423)303-3536
","04CH010316","000","Head Start","Head Start","Family Resource Agency, Inc.","","3680 Michigan Avenue Rd NE ","Cleveland","TN","37323-5721","(423) 568-3025","418 N Burn Rd","Niota","TN","37826-3358","81992"
"Baileyton","36.3329753","-82.83852430000002","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY
301 Louis St
Kingsport, TN 37660-5181
(423)230-3732
","04CH4688","000","Head Start","Head Start","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY","","301 Louis St ","Kingsport","TN","37660-5181","(423) 234-2753","6536 Horton Hwy","Greeneville","TN","37745-7639","39051"
"East Cleveland Early Childhood Development Center","35.156201","-84.85005899999999","Family Resource Agency, Inc.
3680 Michigan Avenue Rd NE
Cleveland, TN 37323-5721
(423)303-3536
","04CH010316","000","Head Start","Head Start","Family Resource Agency, Inc.","","3680 Michigan Avenue Rd NE ","Cleveland","TN","37323-5721","(423) 402-4703","1450 Strawberry Ln NE","Cleveland","TN","37311-5649","82069"
"NEW PROVIDENCE","35.750527","-83.977891","Douglas-Cherokee Economic Authority, Inc.
534 E 1st North St
Morristown, TN 37814-4716
(423)587-4501 - 129
","04CH9999","000","Head Start","Head Start","Douglas-Cherokee Economic Authority, Inc.","","534 E 1st North St ","Morristown","TN","37814-4716","(865) 984-2963","703 W Broadway Ave","Maryville","TN","37801-4715","56959"
"American Way Head Start","35.0759886","-89.92243930000001","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 794-7544","4207 American Way","Memphis","TN","38118-2019","46436"
"Altamont Head Start","35.39893840000001","-85.70015939999996","SEQUATCHIE VALLEY PLANNING & DEVELOPMENT DISTRICT
501 Westfield Pl
Jasper, TN 37347-5144
(423)939-1005
","04CH4786","000","Head Start","Head Start","SEQUATCHIE VALLEY PLANNING & DEVELOPMENT DISTRICT","","501 Westfield Pl ","Jasper","TN","37347-5144","(931) 692-3079","67 Community Center Rd","Coalmont","TN","37313-7713","51918"
"Boones Creek","36.3741863","-82.4311394","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY
301 Louis St
Kingsport, TN 37660-5181
(423)230-3732
","04CH4688","000","Head Start","Head Start","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY","","301 Louis St ","Kingsport","TN","37660-5181","(423) 282-3089","348 Christian Church Rd","Gray","TN","37615-4500","39047"
